restaurant_code,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,restaurant_review_count,restaurant_review_point,naver_blog_count,restaurant_size
309,"서울특별시 마포구 와우산로 29-8 (상수동)",브렛피자,,피자,0,0,0,0,0,0
310,"서울특별시 마포구 동교로29길 50 (연남동)",연남동벚꽃집,,카페,0,0,0,0,0,0
311,"서울특별시 마포구 연희로1길 55 (연남동)",해브,,양식,0,0,0,0,0,0
312,"서울특별시 마포구 성미산로17길 85 (연남동) 1층",히포브런치하우스,,브런치카페,0,0,0,0,0,0
313,"서울특별시 마포구 동교로 262-9 (연남동) 1층 치플레",치플레,,케이크,0,0,0,0,0,0
314,"서울특별시 마포구 월드컵북로4길 44 (동교동) JK빌딩 1층",젤라떼리아에따,,젤라토,0,0,0,0,0,0
315,"서울특별시 마포구 동교로 227-7 (연남동)",스시지현,,스시,0,0,0,0,0,0
316,"서울특별시 마포구 양화로19길 22 (동교동)",비스트로고트,,"파스타,이탈리아식",0,0,0,0,0,0
317,"서울특별시 마포구 와우산로13길 49-7 (상수동)",경주식당,,"퓨전한식,덮밥,일반한식",0,0,0,0,0,0
318,"서울특별시 마포구 양화로 156 (동교동) LG팰리스빌딩 지하 1층 푸드코트",평안도상원냉면,,평양냉면,0,0,0,0,0,0
319,"서울특별시 마포구 와우산로29바길 5-3 (서교동)",쿠바왕,,"쿠바식,펍",0,0,0,0,0,0
320,"서울특별시 마포구 성지1길 6 (합정동) 2층",그릭조이,,그리스식,0,0,0,0,0,0
321,"서울특별시 마포구 연남로5길 9 (연남동)",비뮤티서울,,카페,1,0,0,0,0,0
322,"서울특별시 마포구 독막로3길 38 (서교동)",합정초밥집,,스시,1,0,0,0,0,0
323,"서울특별시 마포구 양화로8길 16-9 (서교동)",엘로커피바,,카페,1,0,0,0,0,0
324,"서울특별시 마포구 와우산로 77 (서교동) 1층",홍대교도리,,"닭발,한식주점",1,0,0,0,0,0
325,"서울특별시 마포구 와우산로 137 (서교동)",이화누룽지삼계탕,,삼계탕,1,0,0,0,0,0
326,"서울특별시 마포구 독막로3길 27 (서교동)",주락간,,한식주점,1,0,0,0,0,0
327,"서울특별시 마포구 동교로38안길 22 (연남동)",수수연남,,모던한식,1,0,0,0,0,0
328,"서울특별시 마포구 동교로50길 25 (연남동) 우측 2호",하이아시아,,"이자카야,중식주점",1,0,0,0,0,0
329,"서울특별시 마포구 동교로 269 (연남동) MH빌딩 1,2층",더레어,,마카롱,1,0,0,0,0,0
330,"서울특별시 마포구 동교로34길 14 (연남동) 1층",술비연남,,퓨전,1,0,0,0,0,0
331,"서울특별시 마포구 월드컵북로6길 81 (연남동) 2층",메디아루나,,중남미식,1,0,0,0,0,0
332,"서울특별시 마포구 동교로38길 34 (연남동) 1층",우마이당고,,,1,0,0,0,0,0
333,"서울특별시 마포구 동교로34길 11 (연남동) 1, 2층",우삼집,,"소고기구이,돼지고기구이",1,0,0,0,0,0
334,"서울특별시 마포구 월드컵북로6길 88 (동교동)",요쇼쿠야코우,,"일식,함박스테이크",1,0,0,0,0,0
335,"서울특별시 마포구 동교로38길 27-5 (연남동) 4층",더스테이크쥬벤쿠바,,양식,1,0,0,0,0,0
336,"서울특별시 마포구 성미산로29길 30 (연남동)",해옫연남,,브런치카페,1,0,0,0,0,0
337,"서울특별시 마포구 동교로 155 (서교동) 한백빌딩",치쿠린서울,,야키토리,1,0,0,0,0,0
338,"서울특별시 마포구 월드컵북로 24 (동교동)",소각,,카페,1,0,0,0,0,0
339,"서울특별시 마포구 어울마당로 136-18 (서교동) 은진빌딩",시암테이블,,태국식,1,0,0,0,0,0
340,"서울특별시 마포구 동교로27길 21 (동교동) 영진빌딩",키움참치,,참치,0,1,0,0,0,0
341,"서울특별시 마포구 연남로 15 (연남동) 1층",사루카메,,라멘,0,1,0,0,0,0
342,"서울특별시 마포구 동교로46길 42-9 (연남동)",르누아즈,,디저트전문점,1,0,0,0,0,0
343,"서울특별시 마포구 동교로 238-1 (연남동)",경양카츠,,일식돈가스,0,1,0,0,0,0
344,"서울특별시 마포구 성미산로 190-4 (연남동) 2층",오복수산,,카이센동,0,1,0,0,0,0
345,"서울특별시 마포구 동교로 220-7 (동교동) 101호",중화복춘,,일반중식,1,0,0,0,0,0
346,"서울특별시 마포구 양화로23길 10-8 (동교동)",glt젤라또,,젤라토,1,0,0,0,0,0
347,"서울특별시 마포구 동교로30길 17-1 (동교동) 101호",랑빠스81,,"프랑스식,샤퀴테리",0,1,0,0,0,0
348,"서울특별시 마포구 동교로34길 12 (연남동) 2층",진가,,"중식주점,일반중식",1,0,0,0,0,0
349,"서울특별시 마포구 양화로19길 22-16 (동교동) 유티엘동교빌딩 1층",17도씨,,초콜릿,1,0,0,0,0,0
350,"서울특별시 마포구 성미산로17길 4 (연남동)",빠끼또,,"타파스바,스페인식",0,1,0,0,0,0
351,"서울특별시 마포구 동교로 267 (연남동)",소이연남,,태국식,0,1,0,0,0,0
352,"서울특별시 마포구 연남로 4-1 (연남동)",최사장네닭,,"닭곰탕,닭볶음탕,닭수육",0,1,0,0,0,0
353,"서울특별시 마포구 동교로25길 7 (동교동)",이미커피,,"커피전문점,디저트전문점",1,0,0,0,0,0
354,"서울특별시 마포구 성미산로 193 (연남동)",향미,,"중국만두,대만식중식",0,1,0,0,0,0
355,"서울특별시 마포구 연남로3길 34 (연남동)",진어참치,,참치,1,0,0,0,0,0
356,"서울특별시 마포구 동교로 182-6 (동교동)",불이아,,"훠궈,사천식중식",0,1,0,0,0,0
357,"서울특별시 마포구 와우산로29다길 11-1 (서교동)",트레머커피웍스,,커피전문점,1,0,0,0,0,0
358,"서울특별시 마포구 독막로19길 32 (상수동) 1층",도덕과규범,,커피전문점,1,0,0,0,0,0
359,"서울특별시 마포구 와우산로29가길 84 (서교동)",아트스페이스우월,,한우오마카세,0,1,0,0,0,0
360,"서울특별시 마포구 어울마당로3길 5-6 (합정동)",그로니,,커피전문점,1,0,0,0,0,0
361,"서울특별시 마포구 성지길 60 (합정동)",커넥츠커피,,커피전문점,1,0,0,0,0,0
362,"서울특별시 마포구 와우산로23길 18-7 (서교동) 202호",이츠모라멘,,라멘,0,1,0,0,0,0
363,"서울특별시 마포구 서강로9길 60 (창전동)",산울림1992,,"한식주점,막걸리전문점",1,0,0,0,0,0
364,"서울특별시 마포구 독막로15길 3-13 (상수동) 2층",츄리츄리,,이탈리아식,0,1,0,0,0,0
